Category,Title,Channel,Video Link,Channel Link,Views,Likes,Thumbnail,Duration,Description,Summary,Video_id,Embed_code
20,엥 마크에서 체력이 한칸??,로희랜드,https://www.youtube.com/watch?v=2wYYTPQ7oVo,https://www.youtube.com/channel/UCKVAgGrCQ24wm1PFcWl2phQ,231444,43038,https://img.youtube.com/vi/2wYYTPQ7oVo/hqdefault.jpg,PT38S,"로블록스 ""로희랜드"" 그룹 링크: https://www.roblox.com/groups/8914136/unnamed#!/about
디스코드 서버 링크 : https://discord.gg/fYrswHfNMq
업로드 요일: 월 화 수목 금 토 일 
업로드 시간: 오후4시

#shorts 


The party troll -
The happy troll -
Music by D1ofAquavibe https://www.youtube.com/user/D1ofAquavibe 
available at: https://www.d1ofaquavibe.com/music (as well as Apple Music, Google Play, Spotify, etc.)",구독을 누르면 최대 체력이 줄어들고 좋아요를 누르면 최대 체력이 증가한다. 그렇다면 손쉽게 야생할 수 있겠다. 좀비도 손쉽게 잡을 수 있고 워드도 잡을 수 있다. 크리퍼 군단이 와도 절대 안 죽을 것 같다.,2wYYTPQ7oVo,https://www.youtube.com/embed/2wYYTPQ7oVo
20,'발'로 해봤습니다 ㅋㅋㅋㅋ #무한의계단 #모바일게임,아이고,https://www.youtube.com/watch?v=4j-2V7uesx4,https://www.youtube.com/channel/UC4bbeipO3PFwAH4Osu2Rfuw,310070,32941,https://img.youtube.com/vi/4j-2V7uesx4/hqdefault.jpg,PT24S,#shorts,발로 해도 너보다 잘하겠다 그래서 무한의 계단 PVP 한 번이라도 이기 천 점이라도 도전해 보겠다 아 잠깐만 진짜 지날 거 같은데 아 진짜 진짜 지나갈 거 같은데 아 잠깐만 아 진짜 진짜 지나가다 발로해도 저보다 잘할 것 같은 사람 구독과 댓글 남겨주 발로해도 저보다 잘할 것 같은 사람 구독과 댓글 남겨주 발로해도 저보다 잘할 ,4j-2V7uesx4,https://www.youtube.com/embed/4j-2V7uesx4
20,네더라이트 세상이 된 마인크래프트 #shorts,견뭉,https://www.youtube.com/watch?v=dpHhS-OhVHg,https://www.youtube.com/channel/UCKC4R6B8bTLIKH1V9PyD7Iw,194098,9834,https://img.youtube.com/vi/dpHhS-OhVHg/hqdefault.jpg,PT53S,"#마인크래프트 #마크 #챌린지


◆ 비즈니스 문의 : ad@lolq.co.kr
◆ 개인 문의 : kbd2018@naver.com
◆ 트위치 생방송 : https://www.twitch.tv/kimbangduck
◆ 인스타 : gyeonmoung
◆ 팬카페 : https://cafe.naver.com/gyeonnim",네더라이트 블록을 캐는 것이 오늘의 목표인데 다이아 곡괭이가 필요한데 주민 말 그러면 또 네더 라이트로 바뀌는 거냐고 하면 안 돼 블록도 해면은 네더 라이트로 나오나 네드라 파편이 나오는데 막대기가 없으면 다이아를 얻어도 의미가 없어 막대기를 어떻게 얻지 못먹을 캐 가지고 자동으로 입이 켜지게 만들어보자 도구 대장장이나 거래를 하는 ,dpHhS-OhVHg,https://www.youtube.com/embed/dpHhS-OhVHg
20,여러분들은 설명을 듣고 맞출 수 있나요?,양세돌,https://www.youtube.com/watch?v=RgXXsSZVTRg,https://www.youtube.com/channel/UCsYWsulNo5XcYkj4e0Nc6CQ,203899,11719,https://img.youtube.com/vi/RgXXsSZVTRg/hqdefault.jpg,PT1M,.,스피드 퀴즈를 합니다 문제를 보고 설명해 주는 사람과 설명을 듣고 맞추는 사람이 한 팀입니다 가장 많이 맞춘 팀에게 만 원을 드리겠습니다 민서 세도 어떤 박사를 정치하는 것입니다 누구를 아세요 황박사 누구를 아세요 황박사 얼굴이 못생겼다 할때 뭐라고 해 내 얼굴 상대 얼굴이 못생겼다 할때 뭐라고 해 내 얼굴 외개인 아니요 아니요 ,RgXXsSZVTRg,https://www.youtube.com/embed/RgXXsSZVTRg
20,신의 계시를 받아 이 싸움을 멈추러 왔다,잠뜰 TV,https://www.youtube.com/watch?v=_HuAdTou_kI,https://www.youtube.com/channel/UCg7rkxrTnIhiHEpXY1ec9NA,182323,7480,https://img.youtube.com/vi/_HuAdTou_kI/hqdefault.jpg,PT39M9S,"두 왕국의 기나긴 전쟁을 막기 위해 파견된 사제 잠뜰.. 근데 왕들이 왜이럼?

▶구독하기❤& 좋아요👍버튼을 눌러주세요! 큰 힘이 됩니다 :D
----------------------------------------­----------
▷잠뜰 TV 간편 무료 구독하기 ! : http://goo.gl/FnZZQO
🐳비하인드를 보고싶다면 여기에요 여기 ! :https://www.youtube.com/channel/UCg7rkxrTnIhiHEpXY1ec9NA/join
----------------------------------------­----------

#잠뜰 #마인크래프트",공룡 왕국에서 퇴출 당한 것이 아니라 바다 왕국의 왕이 되어서 바다 왕국에 있는 분쟁을 없애고 평화를 가져오고 싶어 왔다. 그런데 왜 이렇게 지들끼리 싸워 싸우는지 모르겠다. 그래서 나는 바다 왕국의 왕이 된 것이 아니라 바다 왕국의 왕이 된 것이다. 그래서 나는 바다 왕국의 왕이 된 것이다.,_HuAdTou_kI,https://www.youtube.com/embed/_HuAdTou_kI
20,[ 불도그 LIVE 생방송 11/29 ] 리니지m 전섭2위캐릭 암흑기사 클래스체인지 지금바로갑니다! 신화장갑삽니다!! 급구! #리니지M #홀덤 #빨무 #개운디,불도그,https://www.youtube.com/watch?v=gDmKI1zRM6Y,https://www.youtube.com/channel/UCBjPppB6FOLloYBUvgbqE_A,188615,2146,https://img.youtube.com/vi/gDmKI1zRM6Y/hqdefault.jpg,PT6H16M24S,"▶투네이션 후원
https://toon.at/donate/bulldog22
▶ 광고 문의 : 카카오톡: bulldog22 텔레그램: bulldogju 
E-MAIL: bbubba4081@naver.com",클래스 체인지 대형 컨텐츠인 암흑기사 클체 이벤트를 진행하고 있습니다. 이벤트 클래스 체인지 클릭을 통해 다이아를 충전하고 아이템을 바꿔 물약을 충전하면 됩니다. 다이아를 충전하는 순간 세공이 사라져요 그래서 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때 스킬을 바꿀 때,gDmKI1zRM6Y,https://www.youtube.com/embed/gDmKI1zRM6Y
20,(44화) 아이돌학교 - 인성논란 #삐야기 #제페토 #로블계 #추천 #아이브,삐야기,https://www.youtube.com/watch?v=42tXyI1kMnM,https://www.youtube.com/channel/UC3wA0h62pmP7wxSGRNMQTvQ,137283,9749,https://img.youtube.com/vi/42tXyI1kMnM/hqdefault.jpg,PT49S,.,우리 이름이 뭐니 민지예 나중에 커서 데비 젤처럼 멋진 아이돌이 될 거예요 잼민이들아 아이돌은 아무나 되는 줄 알아 우리 이름이 민지예 라고 하면 다들 어떻게 생각해 그래 우리 이름이 민지예라고 하면 다들 다 아는 거 아니냐고 우리 이름이 민지예라고 하면 다들 다 아는 거 아니냐고 그럼 다들 다 아는 거 아니냐고,42tXyI1kMnM,https://www.youtube.com/embed/42tXyI1kMnM
20,동네에서 스타 2인자라며 거들먹거리는 상대 ... 양학당할 다음 상대로 홍구를 지목하는데...???,발스타홍구,https://www.youtube.com/watch?v=PBEBBvfTb1w,https://www.youtube.com/channel/UC4P7F8qenDo1O_5NvgBb_cg,83034,1255,https://img.youtube.com/vi/PBEBBvfTb1w/hqdefault.jpg,PT22M27S,"스타크래프트 저그 전프로 홍구의 공식 스타채널입니다^^
#홍구 #공방 #참교육 #양학 #양민학살 #친구 #스타 #엽기전략

✌구독과 좋아요는 저희에게 큰 힘이 됩니다!
구독 :: https://www.youtube.com/channel/UC4P7...

💌각종 문의는? dpfgc3@nate.com
💐아프리카 방송국 :: http://afreecatv.com/dpfgc3

✨시청해주셔서 감사합니다!

=============================================================",커세어를 뽑을 시간에 더 열심히 살려 봐 라고 했는데 왜 이렇게 말해 나와 왜 이렇게 말해 나와 왜 이렇게 말해 나와 왜 이렇게 말해 나와 왜 이렇게 말해 왜 이렇게 말해 나와 왜 이렇게 말해 사람을 가면서 건드려야 되는 거냐고 왜 이렇게 말해 사람을 잡으면서 건드려야 되는 거냐고 했다.,PBEBBvfTb1w,https://www.youtube.com/embed/PBEBBvfTb1w
20,이 영상에서 포켓몬은 식량입니다!,너굴몬,https://www.youtube.com/watch?v=9bWxe6ZwLz8,https://www.youtube.com/channel/UCwgAThSYfmU9YRPq4Z1nJfg,77556,5309,https://img.youtube.com/vi/9bWxe6ZwLz8/hqdefault.jpg,PT39S,#포켓몬 #포켓몬스터 #포켓몬고 #포켓몬퀘스트,랜덤 포켓몬을 소환하려고 하는데 그 포켓몬을 보면 떨어는 먹거리를 여러분께 드리려고 합니다 영상은 우 족자입니다 구독과 따 봉으로 힘을 넣어주세요 자 선 무지기 색지에 큐토리 열매 하나도 얹어 줬는데 왕눈해 왔습니다 맛있는 해파리를 소물 드리려고 했는데 안 팔더라고요 대신 왕눈 파워퍼프걸 기 선물 드리겠습니다 다음 주로도 비슷하게 짬뽕으로 었는데 ,9bWxe6ZwLz8,https://www.youtube.com/embed/9bWxe6ZwLz8
20,1분타워 하드모드? 이제 1분만에 깨는것이 엄청 어려워졌다 ㄷㄷ (로블록스 1분타워 1편),집사TV,https://www.youtube.com/watch?v=9aUNtBP7Vbo,https://www.youtube.com/channel/UCRsLT5zPV5LBgBM8TJOOg_Q,122249,2427,https://img.youtube.com/vi/9aUNtBP7Vbo/hqdefault.jpg,PT10M16S,"😈  1분타워 하러가기 https://www.roblox.com/games/12505004062/1

스피드런 브금
Vexento - Pixel Party (https://youtu.be/xSaLtRksFlM)


💗 집사TV 멤버 구독하러 가기
👼푸딩제리 https://www.youtube.com/c/푸딩제리
🐺료미: https://www.youtube.com/c/료미
🦊깅도이: https://www.youtube.com/c/깅도이
🐷멜로우다이어리:https://www.youtube.com/c/Mellowdiary
🐢로희랜드: https://www.youtube.com/@ROHEE823

🎨썸네일

✍ 일러스트 정보(저작권자이므로 이미지 도용은 절대 금지입니다)
집사티콘: 공칠, 네시킨
푸딩티콘: 네시킨
도이티콘: 서담
료미티콘: 료미


☕팬아트 올리는곳(집사 팬카페)
https://cafe.naver.com/jibsanam

#점프맵#로블록스#타워#몰카#몰래카메라

🤚 집사TV의 규칙(아래의 사항을 어길 시 삭제 또는 차단 조치됩니다)
1. 그냥 멤버끼리 즐겁게 놀리고 노는겁니다 모두 합의된 사항이니 과몰입하지마세요
(ex 료미 좀 그만 괴롭히세요!)
2. 매니저랑 멤버는 뽑고 있지않으니 댓글로 구걸하시면 안됩니다
3. 집사TV멤버나 영상의 게스트를 제외한 타유튜버 언급 하지마세요
4. 실력비하
(ex 팩트로 저보다 못하시네, 난 어려운거만 나오는데 집사님은 쉬운거만 걸리네)
5. 도배
6. 타유튜버 언급 금지(영상 출연하는유튜버 또는 댓글에 놀러온 유튜버는 언급가능)
7. 거래
8. 빠놀이 등수놀이 금지
9. 집사멸치는 금지어입니다
10. 혼자 속마음으로 비교는 자유! 하지만 제 앞에서 남과 비교하는건 안됩니다
(집사님보다 oo님이 더 좋음 등등)


🎹브금정보
""Happy Troll"" and ""The Party Troll"" are officially purchased and used at https://www.d1ofaquavibe.com/

🎵 아웃트로:  8비트 도전 - 작곡하는너구리
https://www.youtube.com/watch?v=nfCmR9SfKWA

🎵Music provided by 브금대통령
🎵Track : 마마무마마 - https://youtu.be/XOJBLHZUeVM

🎵Music provided by 브금대통령
🎵Track : 개억울 - https://youtu.be/zpI1I1Fxs-Q

🎵Music provided by 브금대통령
🎵Track : 먹을까 말까 - https://youtu.be/CCiOwpoB9r8

🎵Music provided by 브금대통령
🎵Track : Chicken Run - https://youtu.be/Jxn_5jtrulA

🎵Music provided by 브금대통령
🎵Track : Monkey's Meal - https://youtu.be/UnKP6YcVFsQ

Kevin MacLeod ~ Merry Go
https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100731

Kevin MacLeod ~ Pixelland
https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1500076

Kevin MacLeod ~ Pixel Peeker Polka
https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100833

Kevin MacLeod ~ Sneaky Snitch
https://incompetech.com/music/royalty-free/index.html?isrc=USUAN1100772
Track : Shy little girl

🎤영상안의 TTS는 타입캐스트를 이용하였습니다",우리 같이 투어를 해보도록 하겠습니다 일단 여러분들의 실력을 보고 초를 정해야 되는데 같이 회의를 하자고 하자 나는 그냥 여기서 있을 것 같아 빨리 퇴근하도록 하겠습니다 이렇게 되면 우리가 할 수 있는 것은 다 할 수 있을 것 같아 그렇게 되면 우리가 할 수 있는 것은 다 할 수 있을 것 같아 그렇게 생각을 하고 있습니다 여러분 ,9aUNtBP7Vbo,https://www.youtube.com/embed/9aUNtBP7Vbo
